vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,FR_Hip_pos,FR_Thigh_pos,FR_Calf_pos,FL_Hip_pos,FL_Thigh_pos,FL_Calf_pos,RR_Hip_pos,RR_Thigh_pos,RR_Calf_pos,RL_Hip_pos,RL_Thigh_pos,RL_Calf_pos,FR_Hip_vel,FR_Thigh_vel,FR_Calf_vel,FL_Hip_vel,FL_Thigh_vel,FL_Calf_vel,RR_Hip_vel,RR_Thigh_vel,RR_Calf_vel,RL_Hip_vel,RL_Thigh_vel,RL_Calf_vel,FR_Hip_pos,FR_Thigh_pos,FR_Calf_pos,FL_Hip_pos,FL_Thigh_pos,FL_Calf_pos,RR_Hip_pos,RR_Thigh_pos,RR_Calf_pos,RL_Hip_pos,RL_Thigh_pos,RL_Calf_pos
0.013397,0.00019,0.000009,-0.001856,0.017281,-0.000713,-0.378078,-0.135898,-0.464569,0.382574,-0.138281,-0.461191,-0.357283,-0.145019,-0.445911,0.360351,-0.146107,-0.443674,0.013917,0.135847,-0.019771,-0.018006,0.148274,-0.037277,0.011544,0.112056,0.013399,0.01532,0.105021,0.0271,-0.378305,-0.138969,-0.464034,0.382474,-0.141199,-0.460869,-0.357747,-0.147629,-0.445909,0.360502,-0.148592,-0.443876
0.013681,0.000177,-0.000034,0.007064,0.016442,-0.000704,-0.377964,-0.133331,-0.464948,0.382755,-0.135747,-0.461453,-0.356772,-0.142765,-0.445873,0.360084,-0.143873,-0.443547,-0.01724,0.116427,-0.007876,-0.02531,0.130532,-0.03321,0.007433,0.105114,0.006066,0.006582,0.088523,0.028378,-0.378178,-0.135997,-0.464591,0.382691,-0.1384,-0.461155,-0.357217,-0.145096,-0.445898,0.360191,-0.146129,-0.443691
0.013923,0.000176,0.000048,0.001789,0.014374,0.000809,-0.377971,-0.130987,-0.465323,0.382741,-0.133457,-0.461674,-0.356472,-0.140707,-0.445863,0.359704,-0.141846,-0.443438,0.026496,0.120292,-0.036683,-0.015693,0.114023,-0.018646,0.037033,0.103915,-0.011759,-0.053582,0.114627,-0.031167,-0.378052,-0.133491,-0.464918,0.382857,-0.135856,-0.461437,-0.356699,-0.14286,-0.445822,0.359973,-0.143911,-0.443552
0.014116,0.00017,0.00006,0.000482,0.013682,-0.001212,-0.37785,-0.128889,-0.465624,0.382764,-0.131435,-0.461849,-0.356139,-0.138892,-0.445834,0.359428,-0.14005,-0.443344,0.006685,0.100208,-0.013256,-0.011011,0.102893,-0.017708,0.054199,0.105245,-0.036851,-0.048838,0.102874,-0.032393,-0.378036,-0.131087,-0.465347,0.382857,-0.133569,-0.461655,-0.356474,-0.140819,-0.44578,0.359607,-0.141913,-0.443413
0.014298,0.000153,0.000038,0.000446,0.012673,-0.001108,-0.37771,-0.126984,-0.465943,0.382954,-0.129592,-0.461984,-0.355831,-0.137251,-0.445811,0.359292,-0.138416,-0.443255,-0.005966,0.084875,-0.00764,-0.013533,0.100753,-0.02944,-0.004675,0.069223,0.012561,-0.045307,0.098873,-0.034493,-0.377929,-0.129053,-0.465603,0.382794,-0.131522,-0.461816,-0.356206,-0.139026,-0.445739,0.359348,-0.140105,-0.443301
0.014475,0.00013,-0.000006,-0.000822,0.012137,-0.001052,-0.377483,-0.125232,-0.466351,0.383208,-0.127872,-0.462137,-0.355452,-0.135734,-0.445882,0.359213,-0.136895,-0.443205,0.024787,0.091491,-0.029869,-0.012971,0.094692,-0.031139,0.004523,0.065095,0.005862,-0.037676,0.089487,-0.032951,-0.377774,-0.127103,-0.465916,0.383007,-0.1297,-0.461962,-0.355748,-0.137319,-0.445791,0.359248,-0.138491,-0.443212
0.014582,0.000124,0.000108,0.010144,0.008714,0.000623,-0.377458,-0.12376,-0.466596,0.383151,-0.126457,-0.462174,-0.355259,-0.134385,-0.445983,0.358978,-0.135613,-0.443107,0.001999,0.073882,-0.011322,0.005586,0.054107,0.011596,0.001399,0.058267,0.000485,-0.05224,0.072673,-0.030788,-0.377545,-0.125332,-0.466329,0.383304,-0.127969,-0.4621,-0.355381,-0.135798,-0.445854,0.359188,-0.136965,-0.443146
0.014663,0.000113,0.000216,0.001828,0.007719,-0.000866,-0.377391,-0.122421,-0.46683,0.383068,-0.125237,-0.462207,-0.355094,-0.133232,-0.446085,0.358814,-0.134567,-0.44298,-0.000819,0.057688,-0.004467,0.011291,0.053987,0.007107,0.020181,0.056804,-0.008618,0.021967,0.037179,0.022526,-0.377633,-0.123795,-0.466678,0.38323,-0.126506,-0.462196,-0.355306,-0.134452,-0.445967,0.358911,-0.135693,-0.443026
0.014735,0.000096,0.000232,-0.001847,0.007087,-0.002433,-0.377233,-0.121243,-0.467082,0.383183,-0.124099,-0.46224,-0.354936,-0.132203,-0.44616,0.358749,-0.133536,-0.442956,-0.001272,0.048546,-0.002861,0.00463,0.057312,-0.002788,0.047322,0.067918,-0.041621,0.027348,0.037187,0.018911,-0.377484,-0.122534,-0.466811,0.383092,-0.125305,-0.462215,-0.355089,-0.133308,-0.446014,0.358718,-0.1346,-0.442953
0.014802,0.000075,0.000192,-0.005973,0.004228,0.000067,-0.376983,-0.120171,-0.467384,0.383473,-0.123109,-0.462231,-0.3547,-0.13128,-0.446266,0.35878,-0.13259,-0.442969,0.042064,0.057723,-0.032388,0.026399,0.039983,0.012229,-0.009359,0.030034,0.012344,0.035938,0.029704,0.018967,-0.377281,-0.121325,-0.467094,0.383227,-0.124181,-0.462197,-0.354985,-0.132314,-0.446074,0.358665,-0.133573,-0.442928
