vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,FR_hip_pos,FR_thigh_pos,FR_calf_pos,FL_hip_pos,FL_thigh_pos,FL_calf_pos,RR_hip_pos,RR_thigh_pos,RR_calf_pos,RL_hip_pos,RL_thigh_pos,RL_calf_pos,FR_hip_vel,FR_thigh_vel,FR_calf_vel,FL_hip_vel,FL_thigh_vel,FL_calf_vel,RR_hip_vel,RR_thigh_vel,RR_calf_vel,RL_hip_vel,RL_thigh_vel,RL_calf_vel
-0.00039,0.000012,-0.000081,0.000041,-0.000064,-0.000025,0.436254,-0.043566,-0.424396,0.428046,-0.043206,-0.429526,-0.424408,-0.042118,-0.433414,-0.426276,-0.044626,-0.430827,-0.000444,-0.002111,-0.000388,-0.000709,-0.002445,-0.000727,0.00018,-0.002456,-0.000246,0.000362,-0.00254,-0.00054
-0.000336,0.000009,-0.000072,0.000037,-0.00005,0.000028,0.436247,-0.043607,-0.424403,0.428033,-0.043253,-0.429541,-0.424402,-0.042165,-0.43342,-0.426268,-0.044675,-0.430839,-0.000423,-0.001783,-0.000388,-0.000701,-0.00213,-0.000679,0.000173,-0.002118,-0.000261,0.000394,-0.002207,-0.000528
-0.000284,0.000006,-0.000071,-0.000029,-0.000043,-0.000024,0.43624,-0.04364,-0.424411,0.42802,-0.043294,-0.429556,-0.424396,-0.042205,-0.433427,-0.426257,-0.044717,-0.43085,-0.000317,-0.001435,-0.000391,-0.000608,-0.001775,-0.000689,0.00034,-0.00171,-0.000325,0.000541,-0.001831,-0.000572
-0.000235,0.000004,-0.000068,0.000009,-0.000035,0.00004,0.436233,-0.043667,-0.424419,0.428006,-0.043328,-0.42957,-0.424389,-0.042237,-0.433434,-0.426246,-0.044751,-0.430863,-0.000324,-0.00114,-0.000371,-0.000629,-0.001507,-0.000658,0.000325,-0.001386,-0.000369,0.000527,-0.0015,-0.000597
-0.000192,0.000001,-0.000062,0.000015,-0.000027,-0.000017,0.436225,-0.043688,-0.424427,0.427993,-0.043357,-0.429583,-0.424383,-0.042263,-0.433441,-0.426235,-0.04478,-0.430875,-0.000329,-0.000885,-0.00037,-0.000627,-0.001256,-0.000632,0.000307,-0.001121,-0.000365,0.000539,-0.00124,-0.000594
-0.000155,-0.000001,-0.00006,-0.000002,-0.000023,0.000033,0.436218,-0.043703,-0.424435,0.42798,-0.04338,-0.429596,-0.424376,-0.042284,-0.433449,-0.426224,-0.044803,-0.430887,-0.000284,-0.0006,-0.000367,-0.000604,-0.000958,-0.000637,0.000362,-0.000801,-0.000405,0.000582,-0.000941,-0.000615
-0.000117,-0.000003,-0.000057,-0.000012,-0.000018,-0.000022,0.436212,-0.043714,-0.424442,0.427966,-0.043398,-0.42961,-0.424368,-0.042298,-0.433457,-0.426211,-0.044821,-0.4309,-0.000268,-0.000381,-0.000372,-0.000606,-0.000742,-0.000644,0.000404,-0.000584,-0.000432,0.000622,-0.000728,-0.000629
-0.00009,-0.000005,-0.000061,-0.000014,-0.000014,0.000029,0.436206,-0.04372,-0.42445,0.427953,-0.043412,-0.429623,-0.424361,-0.042309,-0.433466,-0.426199,-0.044834,-0.430913,-0.000225,-0.000195,-0.000371,-0.000562,-0.000562,-0.00063,0.000369,-0.0004,-0.000433,0.000592,-0.000551,-0.000622
-0.000064,-0.000006,-0.000052,-0.000026,-0.000016,-0.000022,0.436201,-0.043722,-0.424459,0.427942,-0.043422,-0.429636,-0.424353,-0.042315,-0.433475,-0.426185,-0.044843,-0.430927,-0.00025,-0.000015,-0.000379,-0.000572,-0.000365,-0.000635,0.000414,-0.00017,-0.000434,0.000653,-0.000326,-0.00064
-0.00004,-0.000006,-0.000033,-0.000008,-0.000025,0.000041,0.436195,-0.043721,-0.424466,0.427929,-0.043428,-0.429649,-0.424343,-0.042317,-0.433484,-0.426171,-0.044849,-0.43094,-0.000335,0.000124,-0.000351,-0.000624,-0.000246,-0.000603,0.000444,-0.000052,-0.000401,0.000686,-0.000172,-0.000634
-0.000022,-0.000006,-0.000025,0.000006,-0.00004,-0.000009,0.436188,-0.043717,-0.424474,0.427916,-0.043432,-0.429662,-0.424335,-0.042317,-0.433493,-0.426157,-0.044851,-0.430953,-0.000374,0.000237,-0.000324,-0.000621,-0.000125,-0.000582,0.000423,0.000077,-0.000361,0.000664,-0.000025,-0.000631
-0.000009,-0.000007,-0.000023,0.000001,-0.000004,0.000046,0.436181,-0.043711,-0.424481,0.427903,-0.043434,-0.429674,-0.424326,-0.042314,-0.433501,-0.426142,-0.044851,-0.430967,-0.000343,0.00031,-0.00035,-0.00065,-0.00008,-0.000571,0.000421,0.000161,-0.000398,0.000717,0.000025,-0.000627
-0.000001,-0.000006,-0.000018,0.000003,-0.000018,-0.000007,0.436173,-0.043704,-0.424488,0.427889,-0.043435,-0.429686,-0.424317,-0.04231,-0.433509,-0.426128,-0.044849,-0.43098,-0.000358,0.000354,-0.000328,-0.000646,-0.000024,-0.00057,0.000426,0.000201,-0.000372,0.000708,0.000083,-0.000626
