vel_x, vel_y, vel_z, omega_x, omega_y, omega_z, RF_HAA_pos, RF_HFE_pos, RF_KFE_pos, LF_HAA_pos, LF_HFE_pos, LF_KFE_pos, RH_HAA_pos, RH_HFE_pos, RH_KFE_pos, LH_HAA_pos, LH_HFE_pos, LH_KFE_pos, RF_HAA_vel, RF_HFE_vel, RF_KFE_vel, LF_HAA_vel, LF_HFE_vel, LF_KFE_vel, RH_HAA_vel, RH_HFE_vel, RH_KFE_vel, LH_HAA_vel, LH_HFE_vel, LH_KFE_vel, RF_HAA_pos, RF_HFE_pos, RF_KFE_pos, LF_HAA_pos, LF_HFE_pos, LF_KFE_pos, RH_HAA_pos, RH_HFE_pos, RH_KFE_pos, LH_HAA_pos, LH_HFE_pos, LH_KFE_pos
0.000908, -0.00007, 0.000569, -0.000101, 0.001944, 0.000176, -0.419818, -0.058497, -0.437579, 0.424923, -0.056628, -0.43392, -0.421111, -0.061074, -0.430445, 0.41511, -0.061389, -0.434853, 0.001238, 0.008091, -0.001874, 0.00045, 0.007358, -0.000782, 0.004633, 0.006208, 0.000542, -0.002869, 0.005129, 0.00171, -0.419766, -0.058747, -0.437472, 0.424844, -0.056873, -0.43381, -0.421262, -0.061229, -0.43048, 0.415207, -0.061516, -0.434906
0.000638, -0.000082, 0.000418, -0.000269, 0.001635, 0.000117, -0.419803, -0.058359, -0.437612, 0.424931, -0.056502, -0.433935, -0.421031, -0.060973, -0.430431, 0.415058, -0.061308, -0.434817, 0.000985, 0.006091, -0.001527, 0.00068, 0.00583, -0.000817, 0.003867, 0.004505, 0.000503, -0.001808, 0.003775, 0.001528, -0.419739, -0.058539, -0.437536, 0.424885, -0.056676, -0.433832, -0.421169, -0.061068, -0.430473, 0.415171, -0.061371, -0.434865
0.000365, -0.000078, 0.000381, 0.00019, 0.001447, 0.000107, -0.41979, -0.05826, -0.437639, 0.424933, -0.056413, -0.43395, -0.420961, -0.060903, -0.43042, 0.415012, -0.061254, -0.434786, 0.000583, 0.00428, -0.001468, 0.000017, 0.003699, -0.000546, 0.003141, 0.002945, 0.000262, -0.002482, 0.002089, 0.001304, -0.419713, -0.058389, -0.437576, 0.424902, -0.056531, -0.433853, -0.421089, -0.060955, -0.430462, 0.415127, -0.061259, -0.434841
0.000215, -0.000178, 0.000219, 0.000205, 0.001151, -0.000117, -0.41977, -0.058193, -0.437666, 0.424936, -0.056355, -0.433959, -0.420898, -0.060862, -0.430414, 0.414972, -0.061225, -0.434764, 0.001087, 0.003298, -0.001963, 0.000741, 0.002414, -0.000132, 0.002683, 0.00182, -0.000187, -0.001633, 0.001029, 0.001055, -0.419708, -0.058282, -0.437602, 0.424898, -0.056439, -0.433871, -0.421028, -0.060878, -0.430456, 0.415083, -0.061209, -0.434814
-0.000001, -0.000106, 0.000195, -0.000082, 0.000666, -0.000056, -0.419744, -0.058152, -0.437695, 0.424949, -0.056319, -0.433959, -0.420845, -0.060841, -0.430416, 0.414946, -0.061211, -0.434745, 0.001382, 0.001384, -0.001228, 0.00059, 0.001556, 0.000095, 0.002499, 0.000697, -0.000342, -0.000983, 0.000563, 0.000614, -0.419696, -0.058214, -0.437626, 0.4249, -0.056377, -0.433885, -0.420971, -0.060834, -0.430447, 0.415048, -0.061181, -0.434789
-0.000129, -0.000063, 0.0001, -0.000133, 0.000336, -0.00003, -0.419725, -0.058133, -0.437714, 0.424951, -0.056302, -0.433962, -0.420805, -0.060836, -0.430422, 0.414921, -0.061211, -0.434739, 0.001386, 0.000822, -0.001044, 0.000257, 0.000424, -0.000096, 0.001877, 0.000203, -0.000523, -0.000739, -0.000171, 0.000093, -0.419672, -0.058169, -0.437651, 0.424899, -0.056346, -0.433889, -0.420918, -0.060809, -0.430451, 0.415022, -0.061174, -0.434768
-0.00017, -0.00014, -0.000001, 0.000634, 0.000304, -0.000102, -0.419699, -0.058127, -0.437734, 0.424956, -0.056308, -0.433961, -0.420771, -0.060841, -0.430431, 0.414905, -0.061223, -0.434737, 0.000521, 0.000424, -0.001484, 0.000239, -0.00039, 0.000467, 0.000893, -0.000224, -0.000922, -0.001109, -0.001012, 0.000239, -0.419642, -0.058144, -0.437683, 0.424916, -0.056323, -0.433887, -0.42088, -0.060804, -0.430457, 0.415005, -0.061168, -0.434759
-0.000266, -0.000025, 0.000085, -0.000074, -0.000282, 0.000144, -0.419677, -0.058132, -0.437753, 0.424961, -0.056315, -0.433957, -0.420743, -0.060851, -0.430447, 0.414896, -0.061238, -0.434736, 0.001965, -0.0005, -0.000595, 0.000056, -0.000369, 0.000518, 0.001415, -0.00027, -0.000962, 0.000017, -0.000622, -0.000042, -0.419622, -0.058137, -0.437704, 0.424927, -0.05631, -0.43389, -0.420854, -0.060811, -0.430464, 0.414989, -0.061166, -0.434764
-0.000122, -0.00021, -0.00022, -0.001068, -0.000123, -0.000356, -0.419647, -0.058133, -0.437771, 0.424972, -0.056322, -0.43395, -0.420723, -0.060859, -0.430467, 0.414897, -0.061244, -0.434746, 0.002883, 0.000488, -0.001671, 0.002802, 0.000046, 0.000361, 0.001831, -0.000571, -0.001098, 0.001435, 0.00022, -0.000926, -0.419583, -0.058137, -0.437731, 0.424945, -0.056319, -0.433883, -0.420823, -0.060823, -0.430477, 0.414984, -0.061177, -0.434766
-0.000103, -0.000267, -0.000305, -0.001094, -0.000275, -0.000355, -0.419611, -0.058133, -0.437795, 0.424984, -0.056329, -0.433935, -0.420707, -0.060857, -0.4305, 0.414907, -0.061248, -0.434756, 0.002918, 0.000493, -0.001765, 0.002984, 0.000068, 0.000376, 0.001902, -0.000383, -0.001601, 0.002003, 0.000425, -0.001017, -0.419573, -0.058141, -0.437747, 0.424937, -0.056331, -0.433882, -0.420804, -0.060829, -0.430498, 0.414974, -0.061198, -0.434765
